stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
3350,成功,Chenggong,成功,Chenggong,臺中市烏日區榮泉里中山路三段 550 號,"No. 550, Sec. 3, Zhongshan Rd., Wuri Dist., Taichung City",04-23371986,24.11424 120.59021,Y
3360,彰化,Changhua,彰化,Changhua,彰化縣彰化市長樂里三民路 1 號,"No. 1, Sanmin Rd., Zhanghua City, Changhua County",04-7274218#11,24.08171 120.53828,Y
3370,花壇,Huatan,花壇,Huatan,彰化縣花壇鄉花壇村中正路 370 號,"No. 370, Zhongzheng Rd., Huatan Township, Changhua County",04-7881418,24.02521 120.53759,Y
3380,大村,Dacun,大村,Dacun,彰化縣大村鄉過溝村福進路 100 號,"No. 100, Fujin Rd., Dacun Township, Changhua County",04-8525148,23.99003 120.56068,N
3390,員林,Yuanlin,員林,Yuanlin,彰化縣員林市和平里民權街 55 號,"No. 55, Minquan St., Yuanlin City, Changhua County",04-8320544#15,23.95933 120.56995,Y
3400,永靖,Yongjing,永靖,Yongjing,彰化縣永靖鄉崙子村永崙路 25 號,"No. 25, Yonglun Rd., Yongjing Township, Changhua County",04-8320544#15,23.92811 120.57165,N
3410,社頭,Shetou,社頭,Shetou,彰化縣社頭鄉廣興村社站路 10 號,"No. 10, Shezhan Rd., Shetou Township, Changhua County",04-8711646,23.89571 120.58082,Y
3420,田中,Tianzhong,田中,Tianzhong,彰化縣田中鎮中路里中州路一段 1 號,"No. 1, Sec. 1, Zhongzhou Rd., Tianzhong Township, Changhua County",04-8742142,23.85827 120.59121,Y
3430,二水,Ershui,二水,Ershui,彰化縣二水鄉光化村光文路 1 號,"No. 1, Guangwen Rd., Ershui Township, Changhua County",04-8792027,23.81321 120.61805,Y
3431,源泉,Yuanquan,源泉,Yuanquan,彰化縣二水鄉合興村英義路 (無站房),"Yingyi Rd. (No Station Building), Ershui Township, Changhua County",04-8792027,23.79846 120.64208,N
3432,濁水,Zhuoshui,濁水,Zhuoshui,南投縣名間鄉濁水村車站路 15 號,"No. 15, Chezhan Rd., Mingjian Township, Nantou County",049-2735850,23.83467 120.70467,N
3433,龍泉,Longquan,龍泉,Longquan,南投縣集集鎮隘寮村龍泉巷 (無站房),"Longquan Ln. (No Station Building), Jiji Township, Nantou County",04-8792027,23.83521 120.74996,N
3434,集集,Jiji,集集,Jiji,南投縣集集鎮吳厝里民生路 75 號,"No. 75, Minsheng Rd., Jiji Township, Nantou County",049-2762546,23.82653 120.78491,N
3435,水里,Shuili,水里,Shuili,南投縣水里鄉水里村民生路 440 號,"No. 440, Minsheng Rd., Shuili Township, Nantou County",049-2770015,23.81844 120.85333,N
3436,車埕,Checheng,車埕,Checheng,南投縣水里鄉車埕村民權巷 2 號,"No. 2, Minquan Ln., Shuili Township, Nantou County",049-2774749,23.83263 120.86572,N
3450,林內,Linnei,林內,Linnei,雲林縣林內鄉林中村中山路 42 號,"No. 42, Zhongshan Rd., Linnei Township, Yunlin County",05-5892040,23.75967 120.61499,Y
3460,石榴,Shiliu,石榴,Shiliu,雲林縣斗六市榴北里文明路 31 號,"No. 31, Wenming Rd., Douliu City, Yunlin County",05-5332900,23.73167 120.57998,N
3470,斗六,Douliu,斗六,Douliu,雲林縣斗六市信義里民生路 187 號,"No. 187, Minsheng Rd., Douliu City, Yunlin County",05-5332900,23.71157 120.54117,Y
3480,斗南,Dounan,斗南,Dounan,雲林縣斗南鎮南昌里中山路 2 號,"No. 2, Zhongshan Rd., Dounan Township, Yunlin County",05-5972039,23.67302 120.48095,Y
3490,石龜,Shigui,石龜,Shigui,雲林縣斗南鎮石龜里,"Shigui Vil., Dounan Township, Yunlin County",05-5972039,23.63951 120.47106,N
4050,大林,Dalin,大林,Dalin,嘉義縣大林鎮吉林里中山路 2 號,"No. 2, Zhongshan Rd., Dalin Township, Chiayi County",05-2654804,23.60112 120.45585,Y
4060,民雄,Minxiong,民雄,Minxiong,嘉義縣民雄鄉東榮村和平路 2 號,"No. 2, Heping Rd., Minxiong Township, Chiayi County",05-2264272,23.55502 120.43136,Y
4070,嘉北,Jiabei,嘉北,Jiabei,嘉義市 東區後湖里保建街 110 號,"No. 110, Baojian St.,  , Chiayi City",05-2334584,23.49985 120.44852,N
4080,嘉義,Chiayi,嘉義,Chiayi,嘉義市 西區番社里中山路 528 號,"No. 528, Zhongshan Rd.,  , Chiayi City",05-2228904,23.47902 120.44124,Y
4090,水上,Shuishang,水上,Shuishang,嘉義縣水上鄉下寮村鴿溪寮 49 號,"No. 49, Gexiliao, Shuishang Township, Chiayi County",05-2228904,23.43389 120.39961,N
4100,南靖,Nanjing,南靖,Nanjing,嘉義縣水上鄉三鎮村三鎮路 26 號,"No. 26, Sanzhen Rd., Shuishang Township, Chiayi County",05-2601232,23.41346 120.38647,N
4110,後壁,Houbi,後壁,Houbi,臺南市後壁區後壁里後壁 77 號,"No. 77, Houbi, Houbi Dist., Tainan City",06-6872055,23.36626 120.36058,N
4120,新營,Xinying,新營,Xinying,臺南市新營區中營里中山路 1 號,"No. 1, Zhongshan Rd., Xinying Dist., Tainan City",06-6322104,23.30673 120.32307,Y
4130,柳營,Liuying,柳營,Liuying,臺南市柳營區東昇里建國路 1 號,"No. 1, Jianguo Rd., Liuying Dist., Tainan City",06-6226450,23.27762 120.32252,N
4140,林鳳營,Linfengying,林鳳營,Linfengying,臺南市六甲區中社里林鳳營 16 號,"No. 16, Linfengying, Liujia Dist., Tainan City",06-6986086,23.24259 120.32107,N
4150,隆田,Longtian,隆田,Longtian,臺南市官田區隆田里中山路一段 1 號,"No. 1, Sec. 1, Zhongshan Rd., Guantian Dist., Tainan City",06-5791664,23.19271 120.31917,Y
4160,拔林,Balin,拔林,Balin,臺南市官田區拔林里拔子林 83 之 1 號,"No. 83-1, Bazilin, Guantian Dist., Tainan City",06-5791664,23.17287 120.32117,N
4170,善化,Shanhua,善化,Shanhua,臺南市善化區光文里中山路 1 號,"No. 1, Zhongshan Rd., Shanhua Dist., Tainan City",06-5837301,23.13333 120.30653,Y
4180,南科,Nanke,南科,Nanke,臺南市新市區大營里大營 287-300 號,"No. 287-300, Daying, Xinshi Dist., Tainan City",06-5896356,23.10714 120.30175,N
4190,新市,Xinshi,新市,Xinshi,臺南市新市區新和里中華路 1 號,"No. 1, Zhonghua Rd., Xinshi Dist., Tainan City",06-5996911,23.06816 120.29004,Y
4200,永康,Yongkang,永康,Yongkang,臺南市永康區埔園里中山路 459 號,"No. 459, Zhongshan Rd., Yongkang Dist., Tainan City",06-2323305,23.03825 120.25347,Y
4210,大橋,Daqiao,大橋,Daqiao,臺南市永康區西橋里中華路 835 號,"No. 835, Zhonghua Rd., Yongkang Dist., Tainan City",06-3021755,23.01923 120.22429,N
4220,臺南,Tainan,臺南,Tainan,臺南市東區成大里北門路二段 4 號,"No. 4, Sec. 2, Beimen Rd., East Dist., Tainan City",06-2261314,22.99719 120.21249,Y
4250,保安,Bao'an,保安,Bao'an,臺南市仁德區保安里文賢路一段 529 巷 10 號,"No. 10, Ln. 529, Sec. 1, Wenxian Rd., Rende Dist., Tainan City",06-2665988,22.93296 120.23158,Y
4260,仁德,Rende,仁德,Rende,臺南市仁德區保安里永德路 10 號,"No. 10, Yongde Rd., Rende Dist., Tainan City",06-2669383,22.92364 120.24061,N
4270,中洲,Zhongzhou,中洲,Zhongzhou,臺南市仁德區中洲五街236號,"No. 236, Zhongzhou 5th St., Rende Dist., Tainan City",06-2667191,22.90466 120.25286,Y
4271,長榮大學,Chang Jung Christian University,長榮大學,Chang Jung Christian University,臺南市歸仁區大潭里長大路15 號,"No. 15, Changda Rd., Guiren Dist., Tainan City",06-2782615,22.90735 120.27274,N
4272,沙崙,Shalun,沙崙,Shalun,臺南市歸仁區沙崙里歸仁大道 102 號,"No. 102, Guiren Blvd., Guiren Dist., Tainan City",06-3032686,22.92419 120.28635,N
4290,大湖,Dahu,大湖,Dahu,高雄市路竹區甲南里天祐路 24 號,"No. 24, Tianyou Rd., Luzhu Dist., Kaohsiung City",07-6932127,22.87821 120.25384,Y
4300,路竹,Luzhu,路竹,Luzhu,高雄市路竹區竹南里中正路 288 號,"No. 288, Zhongzheng Rd., Luzhu Dist., Kaohsiung City",07-6072723,22.85404 120.26619,Y
4310,岡山,Gangshan,岡山,Gangshan,高雄市岡山區碧紅里岡燕路 111 號,"No. 111, Gangyan Rd., Gangshan Dist., Kaohsiung City",07-6212074,22.79221 120.29984,Y
4320,橋頭,Qiaotou,橋頭,Qiaotou,高雄市橋頭區橋頭里站前街 14 號,"No. 14, Zhanqian St., Qiaotou Dist., Kaohsiung City",07-6115424,22.76098 120.31011,Y
4330,楠梓,Nanzi,楠梓,Nanzi,高雄市楠梓區惠楠里建楠路 229 號,"No. 229, Jiannan Rd., Nanzi Dist., Kaohsiung City",07-3510175,22.72717 120.32453,Y
